Task,Variable Name,Data Type,Description,Default
kraken2_se,classified_out,String,File extension for classified reads,"classified#.fastq"
kraken2_se,cpu,Int,CPUs allocated to Kraken2 task,4
kraken2_se,docker,String,Docker image used for running Kraken2,quay.io/staphb/kraken2:2.1.2-no-db
kraken2_se,kraken2_args,String,Optional arguments included for Kraken2,None
kraken2_se,memory,Int,Memory allocated to Kraken2,32
kraken2_se,unclassified_out,String,File extension for unclassified reads,"unclassified#.fastq"
version_capture,timezone,String,User time zone in valid Unix TZ string (e.g. America/New_York),None
